"","Artist.Reputation","Height","Material","Base.Shipping.Price","International","Express.Shipment","Installation.Included","Transport","Fragile","Customer.Information","Weight_log","Price_of_Sculpture_log","Cost_log"
"48",0.51,8,"Low_segment",23.85,"No","No","No","Roadways","Yes","Wealthy",5.37063802812766,1.83258146374831,5.57302817471865
"49",0.59,16,"unknown",19.77,"Yes","No","No","Airways","No","Working Class",8.45083969086622,2.31055326264322,5.94256312674981
"50",0.29,24,"Low_segment",15.8,"No","No","Yes","Airways","Yes","Wealthy",7.80098207125774,1.64480505627139,5.70604657630927
"51",0.17,47,"Low_segment",63.79,"No","No","No","Roadways","No","Working Class",8.6347984334905,2.98669152890184,5.97177191376225
"52",0.6,20,"High_segment",92.44,"No","No","Yes","unknown","No","Working Class",11.987555874143,6.31846348193671,8.63961434325208
"53",0.98,15,"Medium_segment",20.04,"Yes","Yes","No","Airways","No","Wealthy",8.26152644839647,1.70292825552144,6.8709668055343
"54",0.3,22,"High_segment",54.25,"Yes","No","No","Waterways","No","Working Class",12.7514591035973,5.90066418278148,7.16800191824785
"55",0.25,15,"Low_segment",18.09,"Yes","No","No","Waterways","Yes","Wealthy",6.31535800152233,1.10856261952128,5.20904889878985
"56",0.45,39,"Low_segment",23.31,"No","No","Yes","unknown","No","Working Class",6.9782137426307,1.28093384546206,5.59797741575922
"57",0.31,7,"Medium_segment",22,"No","No","Yes","Airways","No","Working Class",6.0282785202307,1.74919985480926,5.34924809521658
"58",0.12,26,"Low_segment",16.83,"Yes","No","Yes","Waterways","No","Working Class",6.36818718635049,1.25276296849537,4.94435303130227
"59",0.61,31,"High_segment",45.19,"Yes","Yes","Yes","unknown","No","Wealthy",13.136765171914,7.22785129717235,9.42220778594408
"60",0.45,43,"High_segment",92.25,"No","Yes","No","Airways","No","Wealthy",14.4855431427102,6.73242522457693,9.06153405224803
"61",0.45,18,"Medium_segment",55.05,"No","No","Yes","unknown","No","Working Class",8.56845648535378,2.06178660644112,5.94871361004035
"62",0.49,7,"High_segment",23.76,"No","Yes","No","Airways","No","Working Class",8.46294817656384,2.91235066461494,5.77935366150327
"63",0.68,39,"Low_segment",22.39,"No","Yes","Yes","unknown","No","Working Class",8.29304913976844,2.46470394247048,6.72958509331066
"64",0.18,15,"High_segment",54.29,"Yes","Yes","Yes","Airways","No","Wealthy",9.69443180053954,3.84181511038465,6.3897875442865
"65",0.38,44,"Low_segment",15.69,"No","No","No","unknown","No","Working Class",7.88720858581393,1.48839958405704,5.45043741460887
"66",0.67,34,"High_segment",44.95,"Yes","No","Yes","Waterways","No","Working Class",14.9632577132898,9.27094899366462,10.1016652339286
"67",0.68,15,"High_segment",72.82,"No","No","No","Roadways","No","Working Class",11.8757544339925,6.0145461065513,8.31617065628799
"68",0.04,35,"unknown",18.45,"Yes","No","No","Waterways","No","Working Class",6.32256523992728,1.71918877639322,4.73496962352294
"69",0.81,20,"High_segment",20.95,"Yes","No","No","Waterways","No","Working Class",6.20455776256869,1.8099267731835,6.24750114172422
"70",0.65,32,"Low_segment",14.81,"No","Yes","Yes","Airways","No","Working Class",7.66622192566273,2.29958058397375,7.05375857310198
"71",0.84,18,"Medium_segment",45.79,"Yes","Yes","No","Airways","No","Working Class",9.24773249119325,3.26193531432865,7.3375161729879
"72",0.69,26,"High_segment",59.65,"No","No","No","Airways","No","Working Class",13.1709077970953,7.35670762668735,8.3664284395265
"73",0.36,25,"Low_segment",95.89,"No","No","Yes","Airways","Yes","Working Class",9.55208440252649,3.52871070196111,7.06081965470897
"74",0.22,8,"Medium_segment",24.47,"No","No","No","Roadways","No","Working Class",6.66949808985788,1.43983512804792,5.18850250054083
"75",0.11,17,"High_segment",94.13,"No","No","Yes","Roadways","No","Working Class",11.8013847353255,5.34981813941044,6.95731657432492
"76",0.45,25,"unknown",15.48,"No","Yes","Yes","Airways","No","Wealthy",7.52240023138712,1.14103300455206,6.32233181950912
"77",0.58,10,"Medium_segment",18.67,"No","No","No","Roadways","No","Working Class",6.20657592672493,1.11841491596429,5.37379582772394
"78",0.17,18,"Low_segment",17.09,"No","No","No","Roadways","Yes","Working Class",8.02731225331902,1.54968790802833,5.00004609254199
"79",0.45,9,"Medium_segment",13.52,"No","No","Yes","Roadways","No","Working Class",7.12849594568004,1.79508725932073,5.49970598605922
"80",0.4,14,"Low_segment",10.26,"No","Yes","Yes","unknown","Yes","Wealthy",8.02731225331902,1.33236601909433,5.36578908166305
"81",0.97,30,"Low_segment",13.39,"No","No","No","Roadways","No","Working Class",6.35437004079735,1.52169899812609,6.56365804582112
"82",0.87,19,"High_segment",95.79,"No","No","No","Roadways","No","Working Class",12.4301917208661,7.23241516655549,8.314773411642
"83",0.93,30,"unknown",13.29,"Yes","No","No","Waterways","No","Working Class",6.92362862813843,2.29152414563462,8.05338791264498
"84",0.38,12,"Medium_segment",17.29,"Yes","No","No","Airways","No","Working Class",7.65539064482615,1.42551507427317,5.52573178471289
"85",0.5,16,"Medium_segment",18.85,"No","No","No","Airways","No","Working Class",7.06561336359772,1.20597080698861,5.46759589837004
"86",0.18,15,"Low_segment",15.4,"Yes","No","No","Airways","Yes","Working Class",6.16751649088834,1.8484548129046,5.24301605076295
"87",0.38,56,"Medium_segment",67.44,"No","No","Yes","Waterways","No","Working Class",10.835828783229,3.85397007397953,6.93755677021893
"88",0.88,25,"High_segment",55.12,"No","No","Yes","Roadways","No","Working Class",13.5526030459646,8.27633617897767,10.2579621274375
"89",0.22,23,"Low_segment",22.3,"No","Yes","Yes","Airways","No","Wealthy",5.84354441703136,1.82937633279936,5.41880784488266
"90",0.43,20,"Low_segment",22.15,"No","Yes","No","unknown","No","Wealthy",7.95542508891267,1.87946504964716,5.96760721057742
"91",0.49,16,"Low_segment",16.52,"No","No","No","Roadways","Yes","Working Class",6.8501261661455,1.70292825552144,5.37258961092262
"92",0.88,24,"High_segment",54.34,"Yes","Yes","No","Airways","No","Working Class",13.5917105412238,7.97134815001586,9.94860431133925
"93",0.64,10,"High_segment",91.98,"Yes","No","Yes","Waterways","No","Working Class",8.02731225331902,3.45600117370283,6.95054653323702
"94",0.03,41,"Low_segment",18.88,"No","Yes","Yes","Airways","No","Wealthy",6.20253551718792,1.71918877639322,5.04992010775916
"95",0.28,37,"Low_segment",27.4,"No","Yes","No","unknown","Yes","Working Class",9.15556734612889,3.01602497682175,6.05963708221103
"96",0.45,35,"Medium_segment",34.46,"No","No","No","unknown","No","Working Class",8.02731225331902,4.48683699902623,7.66636243101387
"97",0.86,14,"Medium_segment",17.02,"No","Yes","Yes","unknown","No","Working Class",8.21446516075919,2.11625551480255,7.30948006747458
"98",0.99,8,"Low_segment",21.85,"No","No","No","Waterways","No","Working Class",5.00394630594546,1.93441576962958,6.44051582587907
"99",0.27,37,"Low_segment",29.16,"Yes","No","Yes","Waterways","Yes","Working Class",8.90449432889673,3.35095616522541,5.81868729815695
"100",0.42,24,"Low_segment",23.52,"Yes","No","Yes","Airways","Yes","Wealthy",8.48632152774915,3.47877551630753,6.31452582896133
"101",0.3,23,"Low_segment",20.65,"No","No","No","Roadways","No","Working Class",7.05012252026906,1.31103187661934,5.29380721107015
"102",0.99,30,"Low_segment",14.04,"Yes","No","Yes","Waterways","No","Working Class",7.00669522683704,1.77664583141801,6.6869340290375
"103",0.34,23,"Low_segment",24.48,"No","No","No","Roadways","No","Working Class",6.10924758276437,1.5993875765806,5.35233195485428
"104",0.45,13,"High_segment",71.73,"No","Yes","No","unknown","No","Wealthy",10.8409133569402,5.03675777824183,6.5324943958534
"105",0.51,29,"unknown",20.82,"Yes","No","Yes","unknown","No","Working Class",7.59890045687141,2.43798973000025,5.79948651628071
"106",0.36,9,"Low_segment",11.28,"No","No","No","Roadways","No","Working Class",4.14313472639153,1.45861502269952,4.71876669257063
"107",0.77,10,"Medium_segment",23.04,"No","No","No","Roadways","No","Working Class",6.29341927884648,1.66392609771817,6.04082597664571
"108",0.45,41,"Medium_segment",82.14,"No","No","No","Waterways","No","Working Class",9.89988105694202,4.79884373111827,7.17781295008018
"109",0.79,23,"High_segment",88.79,"No","Yes","No","Roadways","No","Working Class",11.9372450385929,6.47353569507517,9.86014519707287
"110",0.18,26,"Low_segment",16.18,"No","No","No","Airways","Yes","Working Class",7.38150189450671,1.880990602956,5.2224617142445
"111",0.87,7,"High_segment",19.81,"No","Yes","Yes","Roadways","No","Working Class",7.66152708135852,1.65249740189455,6.2609380960048
"112",0.32,41,"Low_segment",88.99,"No","No","No","Roadways","Yes","Working Class",8.96571778898485,2.7868613815265,6.64989087493954
"113",0.58,28,"Low_segment",17.24,"No","No","Yes","unknown","No","Working Class",6.79794041297493,1.1999647829284,5.84279050972625
"114",0.03,7,"High_segment",17.06,"No","No","No","unknown","No","Working Class",7.68156036255954,1.53686721959926,5.14254036497619
"115",0.4,18,"Low_segment",15.7,"No","Yes","Yes","Roadways","No","Working Class",5.77455154554441,1.66959183525385,5.37712854697233
"116",0.57,4,"Low_segment",18.99,"Yes","Yes","Yes","Airways","No","Wealthy",3.25809653802148,1.14740245283754,5.20751700222154
"117",0.41,19,"Low_segment",11.82,"Yes","Yes","No","Airways","No","Working Class",8.02731225331902,1.86097453824953,5.27984785026438
"118",0.48,24,"High_segment",70.13,"No","No","Yes","Airways","No","Working Class",10.9859027063017,5.76537917287285,7.58284540784196
"120",0.41,11,"Low_segment",21.32,"No","No","Yes","Waterways","Yes","Working Class",6.70318811324086,1.708377860289,5.47784335270652
"121",0.45,9,"Medium_segment",22.6,"Yes","Yes","No","Airways","No","Wealthy",6.48157712927643,1.7227665977411,6.00859203076857
"122",0.16,20,"unknown",14.31,"Yes","Yes","No","Airways","No","Working Class",7.93630269320196,1.10856261952128,5.21661912256353
"123",0.47,22,"Medium_segment",92.24,"No","Yes","No","Airways","No","Working Class",9.85003403180204,4.71007059581346,7.23996128531338
"124",0.46,12,"Medium_segment",15.31,"Yes","No","Yes","Waterways","No","Working Class",7.27793857294566,2.287471455184,5.91776418417802
"125",0.65,4,"Medium_segment",13.77,"No","Yes","Yes","Roadways","No","Wealthy",4.35670882668959,1.53255686809814,5.4429803227886
"126",0.32,35,"Low_segment",15.16,"No","No","No","unknown","No","Wealthy",6.19644412779452,1.20896034583698,5.06006017742378
"127",0.45,13,"Medium_segment",16.02,"No","Yes","Yes","Roadways","No","Working Class",8.0487882835342,1.82616089594539,5.10406491888612
"128",0.29,42,"Low_segment",72.17,"No","No","No","Roadways","Yes","Working Class",9.55534751104723,2.53290284805626,6.48599309195691
"129",0.95,44,"Low_segment",57.31,"No","No","Yes","Waterways","Yes","Working Class",9.32331185063534,4.11283914485827,8.87890841179391
"131",0.48,18,"Low_segment",10.98,"Yes","No","Yes","Waterways","No","Working Class",6.72982407048948,1.13783300182139,5.20532449969887
"132",0.58,34,"unknown",13.34,"Yes","No","No","unknown","No","Working Class",6.13772705408623,1.3297240096315,5.6948762651852
"133",0.45,5,"High_segment",24.16,"Yes","No","No","Airways","No","Working Class",6.55250788703459,1.90210752639692,5.5353243745214
"134",0.62,28,"Low_segment",13.03,"No","No","Yes","Roadways","No","Wealthy",8.02731225331902,1.10856261952128,5.67084597440994
"135",0.87,26,"High_segment",60.7,"No","Yes","No","Airways","No","Wealthy",12.6575080727632,7.52123134948427,9.07629113100563
"136",0.25,19,"Medium_segment",74.41,"No","Yes","No","Airways","No","Working Class",9.06508335931904,2.83556352140117,6.26763688596991
"137",0.21,27,"unknown",77.67,"No","No","Yes","unknown","No","Working Class",10.0453776635357,2.8136106967627,6.59413982450385
"138",0.16,29,"Low_segment",21.95,"No","No","No","unknown","Yes","Working Class",8.02731225331902,1.870262530716,5.29265134492141
"139",0.47,11,"Medium_segment",13.13,"No","No","No","Roadways","No","Working Class",7.18387071506245,1.42310833424261,5.18922768396033
"140",0.84,4,"unknown",15.75,"No","No","Yes","Roadways","No","Working Class",3.76120011569356,1.22082992139236,5.3695676880762
"141",0.55,35,"Medium_segment",87.86,"No","No","No","Roadways","No","Working Class",10.9987107714562,5.4731106569212,7.47099876457262
"142",0.57,7,"High_segment",28.46,"No","No","Yes","unknown","No","Working Class",8.02731225331902,3.72834052299485,6.28711478920894
"143",0.54,35,"High_segment",92.17,"Yes","No","Yes","unknown","No","Working Class",12.5379414454341,5.93597826388985,8.2089110537992
"144",0.1,7,"unknown",14.13,"Yes","Yes","No","unknown","No","Wealthy",7.88833450073865,1.63315443905142,5.42155218088267
"145",0.34,8,"unknown",97.79,"Yes","No","No","Waterways","No","Working Class",8.54733434832822,2.18829594659192,6.47404500543367
"146",0.33,28,"Low_segment",24.06,"No","Yes","No","unknown","Yes","Working Class",8.02731225331902,2.16447179086441,5.87891156086865
"147",0.25,14,"Medium_segment",79.85,"Yes","No","No","Waterways","No","Working Class",8.63905677917308,2.32630161961136,6.17557616744843
"148",0.35,32,"Medium_segment",99.59,"Yes","No","Yes","Waterways","No","Working Class",11.4244111409395,6.12315048793336,7.6806651280083
"149",0.65,31,"Low_segment",24.77,"No","No","No","Roadways","Yes","Working Class",8.40626163070896,3.29953372788566,6.34454804953439
"150",0.45,30,"Medium_segment",33.93,"Yes","No","No","unknown","No","Working Class",9.26359673827661,3.64335893881213,6.36190678544307
"151",0.22,16,"Medium_segment",20.81,"Yes","No","No","Waterways","No","Working Class",8.11072758297449,2.41769790009455,5.32383890377811
"152",0.58,15,"High_segment",88.26,"No","Yes","No","unknown","No","Working Class",10.6947817942356,4.45910340985331,8.09583342992485
"153",0.28,3,"High_segment",13.82,"No","Yes","Yes","Roadways","No","Working Class",8.02731225331902,1.80500469597808,5.41133350301674
"154",0.74,19,"unknown",10.47,"No","No","No","Roadways","Yes","Working Class",6.83410873881384,2.23857976301813,6.84735750643346
"155",0.45,3,"High_segment",14.19,"No","Yes","No","Airways","No","Working Class",4.44265125649032,1.72988406550997,5.54724561683597
"156",0.74,23,"Low_segment",17.91,"No","No","No","Roadways","Yes","Working Class",7.24708058458576,1.70292825552144,6.1661738708998
"157",0.37,23,"High_segment",65.95,"No","No","Yes","unknown","No","Working Class",13.0039694051642,7.76601427460484,8.71648493656327
"158",0.13,31,"High_segment",25.76,"No","No","No","Roadways","No","Working Class",12.7328788961626,5.18755338956318,6.48497105710351
"159",0.27,14,"Low_segment",21.65,"No","No","No","Roadways","No","Working Class",5.81413053182507,1.42310833424261,5.18009673516061
"160",0.45,36,"Medium_segment",33.45,"Yes","No","No","Waterways","No","Working Class",11.6119559884332,5.23946929073883,6.47952295352
"161",0.43,4,"Low_segment",22.2,"No","No","No","Roadways","No","Working Class",3.46573590279973,1.42551507427317,5.08623738758981
"162",0.45,20,"unknown",16.92,"No","No","Yes","unknown","No","Working Class",5.2040066870768,1.38879124131848,4.75238256566848
"163",0.17,14,"Low_segment",22.54,"No","Yes","No","Airways","No","Working Class",5.97380961186926,1.84530023615608,5.16472882943366
"164",0.5,30,"Low_segment",16.11,"Yes","Yes","Yes","Airways","No","Wealthy",6.76849321164863,1.85785927093258,6.16348321090604
"165",0.43,15,"Low_segment",13.89,"No","No","Yes","Roadways","No","Working Class",5.09375020080676,1.16002091679675,5.20910356600321
"166",0.12,24,"High_segment",52.35,"Yes","No","Yes","Waterways","No","Working Class",12.617410475401,6.57358239681817,7.56686469169285
"167",0.64,12,"Low_segment",21.02,"No","No","No","Roadways","No","Working Class",5.65248918026865,1.28647402583768,5.51572449601031
"168",0.41,16,"Low_segment",20.07,"No","Yes","No","Airways","No","Working Class",4.84418708645859,1.64480505627139,5.28558667406922
"169",0.78,16,"Low_segment",11.17,"Yes","No","Yes","Waterways","No","Working Class",5.58724865840025,1.16002091679675,5.71218044610724
"170",0.42,10,"Low_segment",24.71,"No","No","Yes","Waterways","No","Working Class",4.04305126783455,1.93441576962958,5.4716822652991
"171",0.45,41,"Medium_segment",87.21,"No","No","Yes","Roadways","No","Wealthy",10.2673664853234,4.57821000440531,7.1798261279197
"172",0.25,37,"Medium_segment",69.33,"No","No","Yes","Waterways","No","Working Class",9.51863356833207,3.47908392031923,6.40456708234536
"173",0.81,25,"Low_segment",20.51,"No","No","Yes","unknown","No","Working Class",5.39362754635236,1.16315080980568,6.34178685571894
"174",0.45,14,"Low_segment",13.76,"Yes","No","No","Waterways","No","Working Class",5.01063529409626,1.85941811770187,5.7896849036569
"175",0.67,22,"High_segment",78.79,"Yes","Yes","Yes","unknown","No","Wealthy",12.3954029171347,6.49452510059872,9.79607493275217
"176",0.76,16,"Low_segment",16.64,"Yes","Yes","Yes","Airways","No","Working Class",8.02731225331902,1.8229350866965,6.37837524856834
"177",0.69,13,"Medium_segment",11.62,"No","No","Yes","Roadways","No","Working Class",7.19142933003638,1.85002837735203,5.84400807764011
"178",0.52,6,"High_segment",81.56,"Yes","No","No","Waterways","No","Working Class",8.65538869016764,3.41870980674679,6.49405636594687
"179",0.18,20,"Low_segment",10.66,"No","Yes","Yes","Airways","No","Wealthy",5.05624580534831,1.60542989103656,4.94996483789611
"180",0.71,45,"Low_segment",10.78,"Yes","Yes","No","Airways","No","Wealthy",6.72383244082121,1.4655675420144,6.00364012303812
"181",0.45,13,"Medium_segment",14.91,"No","No","No","Roadways","No","Working Class",6.77878489768518,1.95727390770563,5.86612805579668
"182",0.41,16,"unknown",54.25,"No","No","No","unknown","No","Working Class",10.9909883364495,3.87390568331502,6.51196818742524
"184",0.11,7,"Medium_segment",12,"No","No","No","Waterways","No","Working Class",6.0913098820777,1.23256026117785,4.8168077971161
"185",0.81,33,"Medium_segment",60.9,"No","Yes","No","Airways","No","Working Class",11.5016926120371,5.55759996447812,8.62801695631376
"186",0.17,27,"Low_segment",11.65,"No","No","Yes","Roadways","No","Working Class",5.34710753071747,1.28647402583768,4.79455010714949
"187",0.74,21,"unknown",61.53,"No","No","Yes","Roadways","No","Working Class",8.02731225331902,7.55287750252696,8.18074935439175
"188",0.31,3,"Low_segment",21.44,"No","Yes","No","Airways","Yes","Wealthy",2.83321334405622,1.61342993370364,5.17065443505788
"189",0.96,10,"Low_segment",16.25,"No","No","Yes","Waterways","Yes","Working Class",5.53733426701854,1.81807677754543,6.42178485621432
"190",0.5,29,"unknown",59.41,"Yes","No","Yes","unknown","No","Working Class",14.175110420156,8.46497315194361,9.92643131971426
"191",0.81,46,"unknown",73.21,"Yes","Yes","No","unknown","No","Wealthy",10.9158154726072,5.3315103339038,8.50914690671616
"192",0.59,39,"Medium_segment",93.12,"No","No","No","Waterways","No","Working Class",9.6135362406403,4.04637905792722,7.40025398605524
"193",0.66,8,"Low_segment",10.71,"No","Yes","No","Airways","No","Wealthy",4.52178857704904,1.93296963777958,5.7189009457879
"194",0.74,24,"unknown",23.23,"No","No","No","unknown","No","Working Class",8.02731225331902,1.18784342239605,6.06685027401387
"195",0.31,5,"Medium_segment",13.32,"No","Yes","No","Airways","No","Wealthy",5.85507192220243,1.75958057086382,5.15086089708016
"196",0.22,36,"Low_segment",11.85,"No","No","No","Roadways","Yes","Working Class",8.00736706798333,1.71199450075919,5.16432872654472
"197",0.44,33,"unknown",15.94,"Yes","No","Yes","unknown","No","Working Class",7.11882624906208,1.83577635464483,5.56654899967817
"198",0.44,27,"High_segment",78.71,"No","No","No","unknown","No","Working Class",12.2284454963819,5.62354808194559,7.25226654441996
"199",0.26,4,"Low_segment",17.56,"No","Yes","No","Airways","No","Wealthy",2.63905732961526,1.88555334851442,5.05726439469026
"200",0.18,11,"Medium_segment",17.66,"Yes","No","No","Waterways","No","Working Class",8.02731225331902,1.83418018511201,5.05974286820328
"201",1,43,"Medium_segment",86.23,"Yes","Yes","No","Airways","No","Working Class",10.685903975854,4.74875091446562,8.90944471671815
"202",0.89,7,"Medium_segment",16.9,"No","Yes","No","Roadways","No","Working Class",5.99893656194668,1.71199450075919,5.98861047812508
"203",0.08,20,"High_segment",53.8,"No","No","Yes","Roadways","No","Working Class",12.3997173528053,5.53069812321473,6.77242798898458
"204",0.36,9,"Medium_segment",18.18,"No","Yes","Yes","Airways","No","Working Class",8.02731225331902,1.74745921033147,5.32942836157309
"205",0.35,6,"High_segment",11.95,"No","No","No","Roadways","No","Working Class",7.64539769942863,2.26384426467762,5.59366994530404
"206",0.82,10,"Low_segment",18.17,"No","No","Yes","unknown","No","Working Class",4.17438726989564,1.12167756159911,5.67208538791295
"208",0.35,44,"High_segment",69.04,"Yes","No","Yes","Waterways","No","Working Class",15.8874854182287,9.73981913910535,9.98614115654388
"209",0.15,18,"Low_segment",19.31,"No","No","No","Airways","No","Working Class",6.62406522779989,1.48387468945875,4.98565930802608
"210",0.37,30,"Medium_segment",48.93,"No","No","No","Roadways","No","Wealthy",10.1361060742129,4.49099314092569,7.12669801923174
"211",0.12,23,"unknown",23.83,"No","No","Yes","unknown","No","Working Class",4.85203026391962,1.86408013080768,5.14894690989377
"212",0.19,7,"Low_segment",21.18,"No","Yes","No","Roadways","Yes","Wealthy",4.65396035015752,1.51732262352629,5.10751999127304
"213",0.89,50,"Medium_segment",36.74,"No","No","Yes","unknown","No","Working Class",11.4909763355859,6.91329987923749,8.45950899231662
"214",0.43,42,"Low_segment",45.38,"Yes","No","No","Roadways","Yes","Working Class",9.24705795491135,2.88312332917134,6.7656385663103
"215",0.1,20,"Low_segment",19.12,"No","No","No","Roadways","No","Working Class",6.57507584059962,1.78002421300963,4.86668793841919
"216",0.63,19,"Medium_segment",17.03,"Yes","No","No","Waterways","No","Working Class",7.71423114484909,2.32336763217657,5.64527020358853
"217",0.26,15,"Medium_segment",14.58,"Yes","Yes","Yes","Airways","No","Wealthy",8.45998771764546,1.84213567655312,5.86061526868299
"218",0.16,9,"High_segment",14.97,"No","No","No","unknown","No","Working Class",8.02731225331902,2.38047163165112,5.21889529957055
